drug_name,conc,ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
Mexiletine,4129,268465.7771,0.707700976,NA,NA,NA,NA,753.5634865,1.003281815,NA,NA,NA,NA,98706.02962,1.42933726
Mexiletine,4129,223058.8155,1.022417994,NA,NA,NA,NA,282.7156972,1.031068686,NA,NA,NA,NA,232436.8392,1.130128331
Mexiletine,4129,213551.3379,1.083372696,NA,NA,NA,NA,287.6941876,1.063122408,NA,NA,NA,NA,178232.6648,1.045852287
Mexiletine,8258,268465.7771,0.707700976,NA,NA,NA,NA,753.5634865,1.003281815,NA,NA,NA,NA,98706.02962,1.42933726
Mexiletine,8258,223058.8155,1.022417994,NA,NA,NA,NA,282.7156972,1.031068686,NA,NA,NA,NA,232436.8392,1.130128331
Mexiletine,8258,228208.2994,0.957793919,NA,NA,NA,NA,1425.966563,1.180452831,NA,NA,NA,NA,202396.7788,1.147850746
Mexiletine,8258,125575.9416,0.448185475,NA,NA,NA,NA,2366.141167,1.612677871,NA,NA,NA,NA,19265.20843,1.112472496
Mexiletine,8258,213551.3379,1.083372696,NA,NA,NA,NA,287.6941876,1.063122408,NA,NA,NA,NA,178232.6648,1.045852287
Mexiletine,12387,268465.7771,0.707700976,NA,NA,NA,NA,753.5634865,1.003281815,NA,NA,NA,NA,98706.02962,1.42933726
Mexiletine,12387,223058.8155,1.022417994,NA,NA,NA,NA,282.7156972,1.031068686,NA,NA,NA,NA,232436.8392,1.130128331
Mexiletine,12387,228208.2994,0.957793919,NA,NA,NA,NA,1425.966563,1.180452831,NA,NA,NA,NA,202396.7788,1.147850746
Mexiletine,12387,251782.012,0.780938402,NA,NA,NA,NA,2780.196812,1.447952062,NA,NA,NA,NA,183097.5272,1.218984252
Mexiletine,12387,209576.0038,0.325722376,NA,NA,NA,NA,2593.490217,1.230431042,NA,NA,NA,NA,11529.17176,0.943627557
Mexiletine,12387,125575.9416,0.448185475,NA,NA,NA,NA,2366.141167,1.612677871,NA,NA,NA,NA,19265.20843,1.112472496
Mexiletine,12387,213551.3379,1.083372696,NA,NA,NA,NA,287.6941876,1.063122408,NA,NA,NA,NA,178232.6648,1.045852287
Mexiletine,16516,268465.7771,0.707700976,NA,NA,NA,NA,753.5634865,1.003281815,NA,NA,NA,NA,98706.02962,1.42933726
Mexiletine,16516,223058.8155,1.022417994,NA,NA,NA,NA,282.7156972,1.031068686,NA,NA,NA,NA,232436.8392,1.130128331
Mexiletine,16516,281852.0815,0.542117302,NA,NA,NA,NA,4987.464718,1.807148179,NA,NA,NA,NA,57998.03943,0.966648983
Mexiletine,16516,218417.3083,0.468867892,NA,NA,NA,NA,830.5467988,0.596241911,NA,NA,NA,NA,109032.1781,1.07064528
Mexiletine,16516,228208.2994,0.957793919,NA,NA,NA,NA,1425.966563,1.180452831,NA,NA,NA,NA,202396.7788,1.147850746
Mexiletine,16516,231816.8248,0.709580927,NA,NA,NA,NA,1950.820222,0.908537187,NA,NA,NA,NA,7301.36966,1.167012001
Mexiletine,16516,251782.012,0.780938402,NA,NA,NA,NA,2780.196812,1.447952062,NA,NA,NA,NA,183097.5272,1.218984252
Mexiletine,16516,209576.0038,0.325722376,NA,NA,NA,NA,2593.490217,1.230431042,NA,NA,NA,NA,11529.17176,0.943627557
Mexiletine,16516,125575.9416,0.448185475,NA,NA,NA,NA,2366.141167,1.612677871,NA,NA,NA,NA,19265.20843,1.112472496
Mexiletine,16516,213551.3379,1.083372696,NA,NA,NA,NA,287.6941876,1.063122408,NA,NA,NA,NA,178232.6648,1.045852287
Mexiletine,16516,164948.9786,0.055010601,NA,NA,NA,NA,3802.440416,1.337149754,NA,NA,NA,NA,126957.6965,1.16112239
