sample,qnet,inal_auc,ical_auc,apd90,apd50,apd_tri,cad90,cad50,cad_tri,dvmdt_repol,vm_peak,vm_valley,vm_dia,ca_peak,ca_valley,ca_dia
0,0.064925,-90.553581,-105.573849,318.280018,263.000001,55.280017,804.723248,370.723248,434.000000,-0.368767,41.772290,-87.966051,-87.966051,0.000225,0.000073,0.000073
1,0.064925,-90.553581,-105.573849,318.280018,263.000001,55.280017,804.723248,370.723248,434.000000,-0.368767,41.772290,-87.966051,-87.966051,0.000225,0.000073,0.000073
2,0.064925,-90.553581,-105.573849,318.280018,263.000001,55.280017,804.723248,370.723248,434.000000,-0.368767,41.772290,-87.966051,-87.966051,0.000225,0.000073,0.000073
3,0.064925,-90.553581,-105.573849,318.280018,263.000001,55.280017,804.723248,370.723248,434.000000,-0.368767,41.772290,-87.966051,-87.966051,0.000225,0.000073,0.000073
4,0.064925,-90.553581,-105.573849,318.280018,263.000001,55.280017,804.723248,370.723248,434.000000,-0.368767,41.772290,-87.966051,-87.966051,0.000225,0.000073,0.000073
5,0.064925,-90.553581,-105.573849,318.280018,263.000001,55.280017,804.723248,370.723248,434.000000,-0.368767,41.772290,-87.966051,-87.966051,0.000225,0.000073,0.000073
6,0.064925,-90.553581,-105.573849,318.280018,263.000001,55.280017,804.723248,370.723248,434.000000,-0.368767,41.772290,-87.966051,-87.966051,0.000225,0.000073,0.000073
7,0.064925,-90.553581,-105.573849,318.280018,263.000001,55.280017,804.723248,370.723248,434.000000,-0.368767,41.772290,-87.966051,-87.966051,0.000225,0.000073,0.000073
8,0.064925,-90.553581,-105.573849,318.280018,263.000001,55.280017,804.723248,370.723248,434.000000,-0.368767,41.772290,-87.966051,-87.966051,0.000225,0.000073,0.000073
9,0.064925,-90.553581,-105.573849,318.280018,263.000001,55.280017,804.723248,370.723248,434.000000,-0.368767,41.772290,-87.966051,-87.966051,0.000225,0.000073,0.000073
10,0.064925,-90.553581,-105.573849,318.280018,263.000001,55.280017,804.723248,370.723248,434.000000,-0.368767,41.772290,-87.966051,-87.966051,0.000225,0.000073,0.000073
11,0.064925,-90.553581,-105.573849,318.280018,263.000001,55.280017,804.723248,370.723248,434.000000,-0.368767,41.772290,-87.966051,-87.966051,0.000225,0.000073,0.000073
12,0.064925,-90.553581,-105.573849,318.280018,263.000001,55.280017,804.723248,370.723248,434.000000,-0.368767,41.772290,-87.966051,-87.966051,0.000225,0.000073,0.000073
13,0.064925,-90.553581,-105.573849,318.280018,263.000001,55.280017,804.723248,370.723248,434.000000,-0.368767,41.772290,-87.966051,-87.966051,0.000225,0.000073,0.000073
14,0.064925,-90.553581,-105.573849,318.280018,263.000001,55.280017,804.723248,370.723248,434.000000,-0.368767,41.772290,-87.966051,-87.966051,0.000225,0.000073,0.000073
15,0.064925,-90.553581,-105.573849,318.280018,263.000001,55.280017,804.723248,370.723248,434.000000,-0.368767,41.772290,-87.966051,-87.966051,0.000225,0.000073,0.000073
16,0.064925,-90.553581,-105.573849,318.280018,263.000001,55.280017,804.723248,370.723248,434.000000,-0.368767,41.772290,-87.966051,-87.966051,0.000225,0.000073,0.000073
17,0.064925,-90.553581,-105.573849,318.280018,263.000001,55.280017,804.723248,370.723248,434.000000,-0.368767,41.772290,-87.966051,-87.966051,0.000225,0.000073,0.000073
18,0.064925,-90.553581,-105.573849,318.280018,263.000001,55.280017,804.723248,370.723248,434.000000,-0.368767,41.772290,-87.966051,-87.966051,0.000225,0.000073,0.000073
19,0.064925,-90.553581,-105.573849,318.280018,263.000001,55.280017,804.723248,370.723248,434.000000,-0.368767,41.772290,-87.966051,-87.966051,0.000225,0.000073,0.000073
20,0.064925,-90.553581,-105.573849,318.280018,263.000001,55.280017,804.723248,370.723248,434.000000,-0.368767,41.772290,-87.966051,-87.966051,0.000225,0.000073,0.000073
21,0.064925,-90.553581,-105.573849,318.280018,263.000001,55.280017,804.723248,370.723248,434.000000,-0.368767,41.772290,-87.966051,-87.966051,0.000225,0.000073,0.000073
22,0.064925,-90.553581,-105.573849,318.280018,263.000001,55.280017,804.723248,370.723248,434.000000,-0.368767,41.772290,-87.966051,-87.966051,0.000225,0.000073,0.000073
23,0.064925,-90.553581,-105.573849,318.280018,263.000001,55.280017,804.723248,370.723248,434.000000,-0.368767,41.772290,-87.966051,-87.966051,0.000225,0.000073,0.000073
24,0.064925,-90.553581,-105.573849,318.280018,263.000001,55.280017,804.723248,370.723248,434.000000,-0.368767,41.772290,-87.966051,-87.966051,0.000225,0.000073,0.000073
25,0.064925,-90.553581,-105.573849,318.280018,263.000001,55.280017,804.723248,370.723248,434.000000,-0.368767,41.772290,-87.966051,-87.966051,0.000225,0.000073,0.000073
26,0.064925,-90.553581,-105.573849,318.280018,263.000001,55.280017,804.723248,370.723248,434.000000,-0.368767,41.772290,-87.966051,-87.966051,0.000225,0.000073,0.000073
27,0.064925,-90.553581,-105.573849,318.280018,263.000001,55.280017,804.723248,370.723248,434.000000,-0.368767,41.772290,-87.966051,-87.966051,0.000225,0.000073,0.000073
